fx,beta,std_err,t_stat,p_value,r2
AUD,-0.4500713255197715,0.024435046319417546,-18.419090335921236,2.4923877522648037e-61,0.3419082711156822
BRL,-0.17618076722241288,0.02295324747376649,-7.675635764558882,6.020645255798099e-14,0.08275616131071828
CAD,-0.7018707287016891,0.04442812958930765,-15.797890552444182,7.51376383847406e-48,0.27651309119504996
CHF,0.049978951930581966,0.04093074493317309,1.2210613809297075,0.2225034702732631,0.002278092314084934
GBP,-0.593284075794952,0.02643115314361846,-22.446393941695828,3.839731543147889e-83,0.435531568097154
HKD,2.159068269641225,0.4278208475894238,5.046664466695801,5.836145828783738e-07,0.037538677393230024
INR,0.6851553085172422,0.08485243685390496,8.074668612015364,3.2650275564369285e-15,0.09078285768942651
JPY,-0.3410853997801952,0.025787987014601468,-13.226522860705202,1.485249285273327e-35,0.21129636850758726
KRW,0.1724350944596769,0.03533300035715381,4.88028451353309,1.332818280720491e-06,0.03518997115433353
MXN,-0.21718507056807906,0.026697976170383546,-8.134888921243611,2.081866471889118e-15,0.09201694622718659
NOK,0.40274711438766353,0.020040090058307026,20.097071081809666,2.6623058790830142e-70,0.38215083886476997
NZD,-0.44678349232862424,0.02431945699876894,-18.371441942607543,4.447148110113496e-61,0.34074357680723155
SEK,0.47083659421374635,0.0204376166636744,23.03774466279164,2.0841796271465346e-86,0.44835751070287133
SGD,1.2405361563339925,0.05054427214804591,24.543555651576494,9.362890898545571e-95,0.4798413113664942
ZAR,-0.2494797796525275,0.020841922102648854,-11.970094621014846,5.424829413432168e-30,0.17993996544379287
